source_file,company_name,sector,primary_subsector,additional_subsectors,level_3_category,confidence_explanation
obanga_aye_electronic_center_25601021_0_Financials_Obanga_Aye.xlsm,OBANGE AYE ELECTRONICS CENTER,Retail / Trade (electronics),Mobile phones,,Electronics retail specializing in mobile accessories and solar products,"The business sells physical products such as phone batteries, solar panels, and other electronic accessories, which aligns with the retail/trade classification. The presence of inventory and the Cost of Sales categories indicate a focus on retailing goods rather than providing services."
obanga_pe_wany_auto_spares_and_services___apac_2560975_0_OBANGA_PEWANY-FINANCIALS_V2.xlsm,Obanga pewany Autospares -Apac,Retail / Trade (automobile),Service & repair,,Automobile spare parts retail,"The business sells physical products related to automobiles, such as tyres and engine oil, which aligns with the 'Cost of goods sold' category indicating a retail/trade business. The primary focus on automobile parts further supports the classification into the automobile sector."
obonyo_daniel_produce_2560856_0_OBONYO_DAN_FINANCIALS.xlsm,Obonyo Daniel,Retail / Trade (produce),Cereals/Grains,,Retailer of grains and seeds,"The business primarily deals with physical products such as maize, sunflower, soya bean, millet, and chia seeds, which are categorized under 'Cost of goods sold'. This strongly indicates a retail/trade classification, specifically within the produce sector."
obwin_godfrey_2560953_0_Obwin_Financials.xlsm,OBWIN GODFREY,Agriculture,Livestock farming,,Livestock farming and sales,"The presence of 'Purchases' in the Cost of Sales categories indicates that this business is involved in selling physical products related to livestock, which aligns with the retail/trade classification. The primary and secondary industries being agriculture further supports this classification."
obwin_godfrey_2560953_1_Obwin_Financials_Revised.xlsm,OBWIN GODFREY,Agriculture,Livestock farming,,Livestock farming and sales,"The presence of inventory/products categorized under 'Cost of goods sold' indicates that this business is engaged in retail/trade activities related to livestock, thus classifying it under livestock farming."
ocan_bosco_ayita_2560968_0_Copy_of_Ojok_Ayita_financials_reviewed_copy.xlsm,Bosco Ojok Ayita,Retail / Trade (produce),Cereals/Grains,,Produce sales retailer,"The business is classified under Retail / Trade (produce) as it primarily engages in produce sales, which aligns with the Cost of Sales categories indicating a retail/trade business that sells physical products."
ocwila_general_traders_2560810_0_Client_Analysis_Model_ELIRU_JULIUS_2024_F.xlsm,OCWILA GENERAL TRADERS,Retail / Trade (produce),Cereals/Grains,,General retail of grains and firewood,"The business sells physical products such as maize, millet, and firewood, which fall under the Cost of goods sold category, indicating a retail/trade classification. The primary focus on cereals and grains aligns with the selected subsector."
odk_motor_spares_2560878_0_ODYEK_TOM_FINANCIALS_Final.xlsm,ODK MOTORSPARES,Retail / Trade (produce),Cereals/Grains,Retail / Trade (automobile),Mixed retail (motorspares & produce),"The presence of inventory/products categorized under 'Cost of goods sold' indicates a retail/trade business. The business sells motorspares and produce, which aligns with the selected sectors and sub-sectors."
ogang_ogang_herbal_clinic_25601044_0_Financials_Ogang.xlsm,OGANG OGANG HERBAL CLINIC,Retail / Trade (other),Variety shops,,Herbal clinic and wellness products,"The classification is based on the absence of specified products/inventory and the presence of operating costs typically associated with a service-oriented business. However, the business operates in the retail/trade sector, suggesting it may offer a variety of herbal products or services, thus fitting into the 'Variety shops' sub-sector."
oil_city_pharmacy_ltd_2560985_0_Oil_city_financials.xlsm,Test,Retail / Trade (FMCG),General merchandise,,Pharmaceutical retail,"The presence of inventory items such as paracetamol tabs and other medications indicates a retail business focused on selling physical products. The Cost of Sales categories confirm this as they relate to purchases, which aligns with a retail/trade classification."
okwir___sons_enterprises_2560835_0_OKWIR_Financials_-final.xlsm,Okwir and Family,Retail / Trade (FMCG),General merchandise,,Retailer of alcoholic beverages,"The business sells physical products, specifically alcoholic beverages, which aligns with the 'Cost of goods sold' categories indicating a retail/trade classification. The presence of a diverse inventory of drinks further supports the classification as a retailer in the FMCG sector."
olido_oscar_2560754_0_Oscar_Financials.xlsm,OLIDO OSCAR,Retail / Trade (produce),Cereals/Grains,,Wholesale and retail of agricultural inputs and grains,"The presence of inventory/products related to maize and agricultural inputs, along with the Cost of Sales categories indicating wholesale and retail, strongly supports the classification as a retail/trade business focused on produce."
olina_agro_inputs_2560677_0_Client_Analysis_Model_Oliver_Final.xlsm,OLINA AGRO INPUTS,Retail / Trade (agri inputs),Seeds,,Retail of agricultural inputs and fertilizers,"The business primarily engages in the trade of agricultural inputs, as indicated by the presence of inventory/products categorized under 'Cost of goods sold'. This strongly supports the classification as a retail/trade business focused on agricultural supplies."
omach_pius_2560845_0_Financials-Renus_health_foundation.xlsm,Omach pius -Renus health foundation,Healthcare,Healthcare (clinic),Healthcare (pharmacy),Mixed healthcare services with clinic and pharmacy operations,"The presence of inventory/products and cost of sales categories related to both clinic and pharmacy operations indicates a retail/trade classification alongside service provision, justifying the mixed healthcare services classification."
omujapani_motor_spare_25601098_0_OMUJAPANI_MOTOR_SPARE_FINANCIALS.xlsm,OMUJAPANI MOTOR SPARE SHOP,Retail / Trade (automobile),Service & repair,,Automobile spare parts retail,"The business sells physical products related to automobile spare parts, which aligns with the retail/trade classification. The presence of inventory and cost of sales categories indicates a focus on retailing these goods."
one_on_one_electronics___gulu_25601026_0_one_on_one_electric.xlsm,One on One Electronics -Gulu,Retail / Trade (electronics),Mobile phones,,Retail electronics specializing in mobile accessories and solar products,"The business primarily sells physical products such as solar LED lights, phone batteries, and chargers, which aligns with the retail/trade classification. The presence of inventory and cost of goods sold categories further supports the classification as a retail business focused on electronics."
one_on_one_hardware_25601133_0_Financials_One.xlsm,ONE ON ONE HARDWARE,Retail / Trade (hardware),Construction materials,,Retail hardware store specializing in paints and construction supplies,"The presence of inventory items such as undercoat, various types of paint, and construction materials indicates a strong retail/trade classification. The Cost of Sales categories confirm that the business sells physical products, aligning it with the hardware sector."
onyait_stephen_john_2560855_0_Serere_Agro_Enterprises_Ltd-Financials.xlsm,SERERE AGRO ENTERPRISES LTD,Retail / Trade (FMCG),General merchandise,Retail / Trade (produce),Mixed retail (food & grains),"The presence of inventory/products such as flour, rice, sugar, and cooking oil indicates a retail/trade business selling physical goods. The Cost of Sales categories align with a retail classification, confirming the business operates in the FMCG sector with a focus on food and grains."
onyik_bosco_ogwal_2560690_0_Onyik_Financials.xlsm,ONYIK BOSCO OGWAL,Real estate,Property development,Hospitality,Mixed-use development with hospitality and recreational services,"The business operates in both the hotel/restaurant and real estate sectors, with significant revenue streams from bar and restaurant sales indicating a retail/trade component. The presence of inventory/products categorized under 'Cost of goods sold' supports the classification as a mixed-use development that includes hospitality services."
opolot_justine_25601000_0_Opolot_Jus_Financials_v2_Final.xlsm,OPOLOT JUSTINE,Retail / Trade (FMCG),General merchandise,,Mixed retail (beverages and food products),"The presence of various physical products such as soda, water, energy drinks, and food items indicates a retail/trade business. The Cost of Sales categories confirm that the business sells goods, aligning it with the FMCG sector."
osukuru_faith_junior_nursery___primary_school_2560697_0_FAITH_FINANCIALS_final.xlsm,OSUKURU FAITH JUNIOR NURSERY & PRIMARY SCHOOL,Education,Early childhood education,,Private nursery and primary school,"The business is classified under the Education sector and specifically in Early childhood education due to its focus on nursery and primary schooling. The absence of inventory/products and the nature of operating costs suggest it operates as a service business, aligning with the characteristics of educational institutions."
otd_auto_spares___lira_2560981_0_OTD_FINANCIALS_1.xlsm,OTD AUTOSPARES,Retail / Trade (automobile),Service & repair,,Automobile spare parts retail,"The business is classified under the Retail / Trade (automobile) sector as it involves the sale of automobile spare parts, which aligns with the Cost of Sales categories indicating a retail/trade business that sells physical products."
oyam_junior_school_2560795_0_Oyam_Financials.xlsm,OYAM JUNIOR SCHOOL,Education,Early childhood education,,Primary School,The business is classified under the Education sector and specifically as an Early childhood education sub-sector due to its focus on school fees collections and educational services. The presence of inventory related to purchases indicates a service-oriented business rather than a retail/trade classification.
pabbo_phone_s_centre_25601010_0_Financials_Pabbo.xlsm,PABBO PHONE CENTER,Retail / Trade (electronics),Mobile phones,,Mobile phone and accessories retail,"The presence of inventory items such as mobile phones, batteries, chargers, and other electronic accessories indicates a strong retail/trade classification. The Cost of Sales categories align with the sale of physical products, confirming the business operates primarily in the electronics retail sector."
pallisa_kibale_enterprises_2560712_0_Financials_Kibale_Enterprises.xlsm,Kibale Enterprises,Retail / Trade (hardware),Construction materials,,Retailer of construction materials and supplies,"The presence of physical products such as cement, wire mesh, and other construction-related items, along with the Cost of Sales categories indicating 'Cost of goods sold', strongly supports the classification as a retail/trade business focused on hardware and construction materials."
pasquine_produce_2560971_0_pasquine.xlsm,Pasquine produce,Agriculture,Agri primary production,Trade/Retail,Wholesale grain and pulse distributor,"The business primarily deals with the sale of agricultural products such as maize, soya bean, and other grains, which aligns with the retail/trade classification due to the presence of inventory and cost of goods sold categories. This indicates a focus on selling physical products rather than providing services."
pi_kica_obanga_enterprise_lira_25601002_0_Pi_kica_financials.xlsm,Pi kica Obanga-Lira,Retail / Trade (textiles),Clothing,,Clothing retail specializing in trousers and shirts,"The presence of a variety of clothing items in the inventory, along with the Cost of Sales categories indicating 'Cost of goods sold', strongly supports the classification as a retail/trade business focused on textiles."
plumbers_point_25601130_0_Plumbers_Point.xlsm,PLUMBERS POINT,Retail / Trade (hardware),Construction materials,,Plumbing supplies retailer,"The business sells physical products related to plumbing, indicated by the presence of inventory such as pipes and fittings. The Cost of Sales category 'Cost of goods sold' confirms that this is a retail/trade business focused on selling construction materials."
prepra_25601059_0_Financials_Pepra.xlsm,PREPRA,Transport / logistics (non agri),Passenger services,,Public transport service provider,"The business operates in the transport/logistics industry with a focus on passenger services, as indicated by the operating costs related to service provision and maintenance rather than inventory or goods sold. This aligns with the classification of a service business."
pro_lar_christian_school_limited_25601037_0_BETHEL_FINANCIALS.xlsm,GULU BETHEL CHRISTIAN SCHOOL/PROLAR,Education,Early childhood education,,Private Christian School,"The business operates in the education sector with no physical products or inventory specified, and the operating costs suggest a service-oriented model. The classification as a private Christian school aligns with the primary and secondary industry types provided."
ps_millers___lira_2560750_0_FINANCIALS_PS_MILLERS.xlsm,PS MILLERS-LIRA,Retail / Trade (produce),Cereals/Grains,,Retailer of rice and grains,"The business primarily sells rice, which falls under the produce category of cereals/grains. The presence of inventory and the cost of sales categories indicate a retail/trade business focused on physical products, confirming the classification."
pur_lonyo_agro_vet_supplies_ltd_2560758_0_Financials_Patrick.xlsm,Pur Lonyo Agro-vet supplies ltd,Retail / Trade (agri inputs),Seeds,,Agro-vet supplies retail,"The presence of inventory/products related to agricultural inputs and animal equipment, along with the Cost of Sales categories indicating physical product sales, strongly supports the classification as a retail/trade business focused on agro-vet supplies."
r_b_hardware___bukwo_25601082_0_Financials_-_R_B_HARWARE-_BUKWO_New.xlsm,R B HARDWARE- BUKWO,Retail / Trade (hardware),Construction materials,,Hardware retail specializing in construction materials,"The business primarily sells physical products related to hardware, as indicated by the presence of inventory items such as cement and iron sheets. The Cost of Sales category 'Cost of sales, Median Margin' further confirms that this is a retail/trade business focused on selling goods rather than providing services."
rimskim_supermarket_2560876_0_Financials_Rimskim.xlsm,RIMSKIM SUOERMARKET,Retail / Trade (FMCG),General merchandise,,Supermarket with diverse food and household products,"The business operates as a supermarket selling a variety of physical products, including food and household items, which aligns with the Cost of Sales categories indicating a retail/trade business."
rms_pharmacy_limited_2560937_0_Financials_Pharmacy.xlsm,RMS PHARMACY,Retail / Trade (FMCG),General merchandise,Healthcare,Pharmacy retail,"The presence of inventory/products categorized under 'Cost of goods sold' indicates that RMS PHARMACY operates as a retail/trade business selling physical products, specifically pharmaceuticals. This aligns with the FMCG sector, and the specific focus on pharmacy products justifies the level 3 category."
robert_odongo_25601125_0_robert.xlsm,ROBERT ODONGO,Retail / Trade (produce),Cereals/Grains,,Retailer of cereals and grains,"The business primarily deals with physical products such as maize, millet, soya, and sunflower, which fall under the Cost of goods sold category. This strongly indicates a retail/trade classification, specifically in the produce sector."
robert_olego_25601046_0_Client_Analysis_Model_v24.3_-_OLEGO.xlsm,OLEGO ROBERT,Agri primary production,Crop farming,Transport/Logistics,Mixed agricultural producer and logistics provider,"The presence of inventory/products categorized under 'Cost of goods sold' indicates a retail/trade business that sells physical agricultural products. Additionally, the revenue stream from transportation suggests involvement in logistics, supporting the classification as a mixed agricultural producer and logistics provider."
robling_enterprises_limited_25601118_0_Financials.xlsm,ROBLING ENTERPRISES LIMITED,Retail / Trade (produce),Cereals/Grains,Retail / Trade (FMCG),Mixed retail (food & beverages),"The presence of inventory/products categorized under 'Cost of goods sold' such as maize, rice, and various beverages strongly indicates a retail/trade classification. The business operates in both the produce and hotel/restaurant sectors, leading to a mixed retail classification."
robmark_business_center_25601018_0_Client_Analysis_Model_v24.3_-_ROBMARK.xlsm,MAGANDA ROBERT,Retail / Trade (produce),Cereals/Grains,,Retailer of staple grains and legumes,"The business primarily sells physical products such as rice, millet, and beans, which fall under the Cost of goods sold category, indicating a retail/trade classification focused on agricultural produce."
roliz_enterprise_25601132_0_roliz.xlsm,Roliz enterprises,Retail / Trade (beauty),Salons,Retail / Trade (produce),Retail of beauty products and agricultural produce,"The business primarily sells physical products, including hair products and cosmetics, as well as agricultural produce, which aligns with the retail/trade classification. The presence of inventory and cost of goods sold categories further supports this classification."
roots_lounge_sentema_2560976_0_FINANCIALS_-_ROOTS_LOUNGE.xlsm,ROOTS LOUNGE SENTEMA,Retail / Trade (FMCG),General merchandise,,Mixed retail (supermarket & restaurant),"The presence of multiple cost of sales categories related to physical products, such as supermarket items and restaurant food, strongly indicates a retail/trade classification. The diverse inventory and revenue streams further support the classification as a mixed retail business."
royal_college_kamuli_2560873_0_Royal_College_Financials.xlsm,ROYAL COLLEGE KAMULI,Education,Early childhood education,,Boarding School,"The business primarily operates in the education sector, specifically as a boarding school, indicated by the revenue stream from school fees and the presence of cost categories related to tuition fees for both boarding and day students. The classification is supported by the nature of the operating costs, which align with service costs typical of educational institutions."
royals_hardware_soroti_25601057_0_Financials-_ROYALS_HARDWARE_Updated.xlsm,ROYALS HARDWARE,Retail / Trade (hardware),Construction materials,,Hardware retail specializing in construction materials,"The business sells physical products related to construction, as indicated by the inventory of hardware items. The Cost of Sales category 'Cost of sales, Median Margin' confirms that this is a retail/trade business focused on selling tangible goods."
s_and_h_medical_centre_lira_2560916_0_FINANCIALS-SH.xlsm,S&H MEDICAL CENTER-LIRA,Healthcare,Healthcare (clinic),,General medical practice,"The business operates as a medical center providing healthcare services, and the presence of operating costs related to service delivery indicates a service business rather than a retail/trade classification. The inventory includes medical products, but the primary focus is on healthcare services."
saul_electronics_25601062_0_SAUL_ELECTRONICS_Financials_Adjusted_Final.xlsm,SAUL ELECTONICS,Retail / Trade (electronics),Mobile phones,,Electronics retail with solar products focus,"The presence of various electronic products, including solar panels and batteries, along with the classification of Cost of Sales as 'Purchases', strongly indicates a retail/trade business model focused on selling physical products."
sebei_model_nursery___primary_school_25601114_0_SEBEI_MODEL_FINANCIALS.xlsm,Sebei Model Nursery and Primary School - Kween,Education,Early childhood education,,Private nursery and primary school,"The business operates in the education sector, specifically focusing on early childhood education. The absence of inventory and the presence of service costs in operating expenses indicate that it is a service-oriented business rather than a retail/trade business."
shalom_produce_2560708_0_Shalom_Financials.xlsm,SHALOM PRODUCE,Retail / Trade (produce),Cereals/Grains,,Retailer of grains and legumes,"The business sells physical products such as groundnuts, millet, sorghum, and other grains, which fall under the Cost of goods sold category, indicating a retail/trade classification focused on agricultural produce."
sharif_vip_bakery_2560725_0_SHARIF_FINANCIALS_-_FINAL.xlsm,SHARIF VIP BAKERY,Agri primary production,Livestock farming,,Bakery production,"The business is classified under Agri primary production and specifically as livestock farming due to its production nature. The absence of specified products and the focus on operating costs suggest a production-oriented business rather than retail or service, leading to the classification as a bakery production."
simotech_investments_2560816_0_Simotech.xlsm,SIMOTECH INVESTMENTS LIMITED,Retail / Trade,Retail / Trade (textiles),Education,Uniform and clothing retailer,"The presence of inventory/products categorized under 'Cost of goods sold' indicates a retail/trade business focused on selling physical products, specifically uniforms and clothing items. This aligns with the primary industry of education as uniforms are often required in educational settings."
smart_ways_mobile_solutions_2560783_0_Smart_ways_business_solutions_1.xlsm,SMART WAYS BUSINESS SOLUTION,Retail / Trade (electronics),Mobile phones,,Retailer of mobile phones and accessories,"The business primarily sells physical products such as mobile phones and accessories, which aligns with the Cost of Sales categories indicating a retail/trade business. The presence of inventory and the nature of revenue streams further support this classification."
spider_web_hardware_25601071_0_Financials-_SPIDER_WEB_HARDWARE.xlsm,SPIDER WEB HARDWARE,Retail / Trade (hardware),Construction materials,,Hardware retail specializing in construction materials,"The business sells physical products related to hardware, as indicated by the inventory of construction materials and the presence of 'Cost of goods sold' in the cost of sales categories, confirming its classification as a retail/trade business."
st_agnes__vocational_secondary_school_kasese_25601109_0_Financials_-St._Agness_voc_sec_school.xlsm,ST. AGNESS VOCATIONAL SECONDARY SCHOOL,Education,Vocational education,,Vocational Secondary School,The business is classified under the Education sector and specifically as a Vocational education institution due to its focus on providing secondary education. The absence of inventory and the presence of operating costs related to services indicate that it operates as a service business rather than a retail/trade business.
st_josephs_junior_school_akadot_2560869_0_Financials_-St_Josephs.xlsm,St Josephs Junior School Akadot,Education,Early childhood education,,Primary School,"The business is classified under the Education sector and specifically as Early childhood education due to its focus on school fees and admission fees, which are typical revenue streams for educational institutions. The absence of physical products and the nature of operating costs suggest it operates as a service business rather than retail."
st_mary_s_clinic_drug_shop_2560689_0_St._Marys_medical_clinic_f.xlsm,ST. MARY'S MEDICAL CLINIC,Healthcare,Healthcare (clinic),Healthcare (pharmacy),General medical practice with retail pharmacy services,"The presence of inventory/products and cost of sales categories related to purchases indicates a retail/trade aspect, specifically in pharmacy, while the primary focus remains on providing medical services through the clinic."
stevepics_general_services_2560939_0_STEVEPICS.xlsm,Stevepics General services,Retail / Trade (stationary),School/office supplies,,Stationery and printing supplies retailer,"The presence of inventory items such as Epson Ink, various types of paper, and other stationery products indicates a strong retail/trade classification. The Cost of Sales categories align with a retail business model, confirming the focus on selling physical products."
tabuzibwa_patrick_kasule_25601100_0_Kasule_Financials.xlsm,TABUZIBWA PATRICK KASULE,Retail / Trade (other),Variety shops,,Retailer of footwear and crafts,"The business primarily sells physical products such as slippers and various types of shoes, which aligns with the retail/trade classification. The presence of inventory and the cost of goods sold categories further confirm this classification as a retail business."
tailor_s_friends_lira_2560998_0_Tailors_Financials.xlsm,Test,Retail / Trade (textiles),Tailoring materials,,Retail of sewing and tailoring supplies,"The presence of inventory items such as sewing machines, fabrics, and tailoring materials indicates a strong retail/trade classification. The Cost of Sales categories confirm that the business sells physical products, aligning it with the textiles subsector."
tasha_hotels_2560704_0_TASHA_HOTEL_FINANCIALS.xlsm,Lira tasha hotel,Healthcare,General medical practice,Retail pharmacy,Hotel with integrated healthcare services and auto parts retail,"The presence of both hotel/restaurant and healthcare services indicates a combined business model. The Cost of Sales categories suggest a retail/trade aspect due to the inventory of auto parts, which aligns with the classification of a retail business. The healthcare component is supported by the secondary industry classification."
teefe_ibrahim_traders_2560686_0_FINANCIALS.xlsm,Tefe Ibrahim Traders,Retail / Trade (FMCG),General merchandise,,General merchandise with household goods focus,"The business sells physical products such as buckets, basins, and chairs, which aligns with the retail/trade classification. The presence of 'Cost of goods sold' categories further supports this classification as it indicates a retail business model."
teryet_safari_lodge_25601105_0_TERYET_SAFARI_LODGE_FINANCIALS_Updated.xlsm,TERYET SAFARI LODGE,Transport / logistics (non agri),Passenger services,Hotel/Restaurant,Safari lodge with transport services,"The business operates in both hotel/restaurant and transport/logistics industries. The presence of logistics sales indicates a service component, while safari sales suggest a focus on passenger services. The classification reflects the dual nature of the business, with a strong emphasis on hospitality and transport."
texas_grain_millers_ltd_2560927_0_Financials_Texas.xlsm,TEXAS GRAIN MILLERS LTD,Retail / Trade (produce),Cereals/Grains,Retail / Trade (FMCG),"Mixed retail (grains, fuel, and general merchandise)","The presence of inventory/products related to grains (maize, rice, cassava) and fuel (diesel, petrol) alongside various general merchandise items indicates a strong retail/trade classification. The Cost of Sales categories confirm this as they relate to the sale of physical products, reinforcing the classification as a mixed retail business."
the_base_guest_house_and_bar_2560734_0_The_base_guest_house_financials.xlsm,THE BASE GUEST HOUSE,Retail / Trade,FMCG,,Mixed retail (fuel and guest accommodation),"The presence of inventory/products such as diesel and petrol, along with the Cost of Sales category indicating purchases, strongly suggests a retail/trade classification. The business operates as a guest house while also selling fuel, which aligns with the FMCG sector."
thomas_pamba_25601102_0_PAMBA_THOMAS_FINAL.xlsm,PAMBA THOMAS,Retail / Trade (FMCG),General merchandise,,Retailer of petroleum and personal care products,"The business primarily sells physical products such as petroleum and various personal care items, which aligns with the 'Cost of goods sold' category indicating a retail/trade classification. The presence of diverse inventory further supports the classification under FMCG general merchandise."
time_is_money_wholesale___retail_25601115_0_time_is_money.xlsm,TIME IS MONEY RETAIL & WHOLESALE,Retail / Trade (FMCG),General merchandise,,Wholesale and retail of food and household products,"The business sells physical products such as food items and household goods, which aligns with the Cost of Sales categories indicating a retail/trade business. The presence of a diverse inventory further supports the classification as general merchandise."
tinada_enterprise_25601067_0_TANIDA.xlsm,TINADA ENTERPRISES,Retail / Trade (FMCG),General merchandise,,Mixed retail (beverages and general goods),"The presence of various physical products such as sodas, cigarettes, and other beverages indicates a retail/trade business. The Cost of Sales categories confirm that the business sells goods, aligning it with the FMCG sector."
tonny_opiyo_2560922_0_TONNY_FINANCIALS_-_revised_1.xlsm,Test,Retail / Trade (electronics),Mobile phones,,Retail of electronic accessories and components,"The business sells physical products such as extension cables, batteries, and bulbs, which fall under the Cost of goods sold category, indicating a retail/trade classification. The primary industry is Trade/Retail, and the specific products align with the electronics sub-sector."
tooro_prime_store_2560843_0_Tooro_prime_store.xlsm,TOORO PRIME STORE,Retail / Trade,FMCG,Real Estate,Retail liquor store with rental income,"The presence of liquor sales as a primary revenue stream and the classification under 'Cost of goods sold' categories strongly indicate a retail/trade business. Additionally, the secondary revenue from rentals aligns with the real estate sector."
top_ten_hardware___guest_house_25601004_0_TOP_10.xlsm,TOP TEN HARDWARE & GUEST HOUSE,Retail / Trade (hardware),Construction materials,Retail / Trade (other),Mixed retail (hardware & guest house services),"The presence of inventory/products categorized under 'Cost of goods sold' indicates a retail/trade business focused on selling physical products, specifically construction materials. Additionally, the guest house aspect introduces a service element, justifying the mixed retail classification."
triangle_secondary_school_limited__2560717_0_Triangle_secondary_school_financials_1.xlsm,TRIANGLE SECONDARY SCHOOL,Education,Early childhood education,,Secondary School,"The business is classified under the Education sector and Early childhood education sub-sector due to its primary focus on tuition and educational services. The presence of operating costs related to staff salaries and educational materials indicates a service-oriented business rather than a retail/trade business, which aligns with the classification criteria."
trinity_college_maala_25601045_0_Trinity_Financials.xlsm,TRINITY COLLEGE MAALA,Education,Early childhood education,,Boarding School,"The business primarily operates in the education sector, with a focus on school fees collection indicating a service-oriented model. The presence of guest house and hostel services further supports the classification as a boarding school, rather than a retail/trade business, as the cost of sales categories do not indicate physical product sales."
trinity_unisex_saloon___events_world_2560777_0_Financials_-_Trinity.xlsm,TRINITY UNISEX SALOON & EVENTS WORLD,Retail / Trade (beauty),Salons,Retail / Trade (events),Unisex salon and event services,"The business primarily operates as a salon providing beauty services and also offers event services, which aligns with the service costs classification. The absence of physical product inventory further supports the classification as a service-oriented business within the beauty sector."
tropical_farm_supplies_ltd__2560732_0_Financials_Tropical.xlsm,TROPICAL FARM SUPPLIES LTD,Retail / Trade (agri inputs),Seeds,Retail / Trade (produce),Wholesale and retail agro inputs and produce,"The presence of multiple cost of goods sold categories related to agro inputs and produce strongly indicates a retail/trade classification. The business focuses on selling physical products, including seeds and agricultural supplies, which aligns with the selected sector and sub-sector."
trusted_care_junior_school_25601107_0_Trusted_care_-Financials.xlsm,Trusted Care Junior Junior school-Kasese,Education,Early childhood education,,Private Junior School,"The business operates in the education sector, specifically focusing on early childhood education. The revenue streams are primarily from tuition and fees, which aligns with service costs rather than goods sold, indicating a service-oriented classification."
tufanye_pamoja_shop_2560715_0_Client_Analysis_Model_v24-Tufanye_Pamoja_-_Rev.xlsm,Tufanye Pamoja Shop,Retail / Trade (beauty),Salons,,Cosmetics retail shop,"The business primarily sells cosmetics and related products, which aligns with the beauty retail sector. The presence of inventory/products categorized under 'Cost of goods sold' confirms its classification as a retail/trade business."
tujune_enterprises_ltd_2560923_0_Tujune_Enterprises_1.xlsm,TUJUNE ENTERPRISES LIMITED,Retail / Trade (FMCG),General merchandise,,Mixed retail (liquor and guest house services),"The business operates a liquor store and a guest house, indicating a retail focus on physical products and services. The presence of inventory and cost of goods sold categories confirms its classification as a retail/trade business."
tumwebaze_agro_input_2560959_0_Client_Analysis_Model_v24.3_-_TUMWEBAZE_AGRO_1.xlsm,KWIKIRIZA AIDAH,Retail / Trade (agri inputs),Seeds,,Retail of agricultural inputs and seeds,"The presence of inventory items such as fertilizers, various types of seeds, and pesticides indicates a strong focus on retailing agricultural products. The Cost of Sales categories confirm that the business operates as a retail/trade entity selling physical products."
tumwesige_daniel_2560929_0_Daniel_Tumwesige_Financials_Final.xlsm,TUMWESIGE DANIEL,Retail / Trade (FMCG),General merchandise,,Mixed retail (household goods & kitchenware),"The presence of physical products such as saucepans, plastic cups, and other household items indicates a retail/trade business. The Cost of Sales categories confirm this classification as they relate to purchases of goods sold, aligning with the characteristics of a retail operation."
uganda_christian_institute_for_professional_development_2560724_0_UCI_FINANCIALS.xlsm,UGANDA CHRISTIAN INSTITUTE FOR PROFESSIONAL DEVELOPMENT,Education,Higher education,,Professional development institute,"The business primarily operates in the education sector, focusing on professional development, with revenue generated from tuition collections. The operating costs indicate a service-oriented model rather than retail, confirming its classification as a service business in higher education."
united_africa_business_consultants_limited_2560984_0_OPOLOTI_JOHN_MICHEAL.xlsm,OPOLOT JOHN MICHEAL,Transport / logistics (non agri),Passenger services,Delivery services,Boda Boda transport and guest house services,"The business primarily operates in the transport/logistics industry with a focus on passenger services through Boda Boda incomes. The presence of guest house and bar incomes indicates additional service offerings, but the primary classification remains in transport. The Cost of Sales categories suggest a service-oriented business rather than retail, reinforcing the classification in passenger services."
universal_body_care_and_general_merchandise_shop_2560740_0_Finacials_001.xlsm,UNIVERSAL BODY CARE AND GENERAL MERCHANDISE SHOP,Retail / Trade (FMCG),General merchandise,,General merchandise shop,"The presence of various physical products such as lotions, sugar, and soap indicates a retail/trade business. The Cost of Sales categories confirm that the business sells goods, aligning it with the FMCG sector."
urban_fashion_25601041_0_Financials_Urban.xlsm,URBAN FASHION,Retail / Trade (textiles),Clothing,,Urban fashion retail specializing in suits and accessories,"The presence of various clothing items and accessories as inventory, along with the classification under 'Cost of goods sold', strongly indicates that this business operates as a retail/trade entity focused on selling physical products."
varelo_graphics_2560977_0_Valero_financials_V2.xlsm,Test,Retail / Trade (other),Variety shops,,Mixed retail (stationery and apparel),"The presence of physical products such as ID card holders, diaries, t-shirts, and other merchandise indicates a retail/trade business. The Cost of Sales categories confirm this classification as they relate to purchases of goods sold, aligning with the characteristics of a variety shop."
veritas_events_lira_25601095_0_Financials_Veritas.xlsm,VERITAS EVENTS LIRA,Retail / Trade (other),Variety shops,,General variety retail,"The classification is based on the absence of specified products/inventory and the presence of operating costs typical for a retail/trade business. The 'Median Margin' in Cost of Sales suggests a retail operation, leading to the selection of 'Variety shops' as the most fitting sub-sector."
vickie_and_aggie_kindergarten_and_primary_school_2560788_0_Vickie_Aggie.xlsm,VICKIE AND AGGIE KINDERGARTEN AND PRIMARY SCHOOL,Education,Early childhood education,,Private Kindergarten and Primary School,"The business operates in the education sector, specifically focusing on early childhood education. The absence of inventory and the presence of service-related operating costs indicate that it is a service business rather than a retail/trade business."
victoria_nursery_day_and_boarding_primary_school_2560747_0_Victoria_financials.xlsm,VICTORIA NURSERY AND PRIMARY SCHOOL,Education,Early childhood education,,Private nursery and primary school,"The business operates in the education sector with a focus on early childhood education, as indicated by its name and primary industry classification. The absence of inventory/products and the presence of service-related operating costs suggest it is a service business rather than retail/trade."
